# 451 buckets with a mean size of 27.26 data points
center, bucket, max, min, std, bucket_size
0.500, -6604.5, 438.1, -688.2, 429.8, 28
0.520, -2747.2, 516.6, -642.6, 340.8, 27
0.540, -687.9, 254.3, -446.1, 157.7, 27
0.560, 6884.8, 855.8, -449.9, 360.3, 27
0.580, 13529.8, 1039.1, -554.8, 477.6, 28
0.600, 24504.3, 1195.5, -155.8, 410.7, 27
0.620, 35581.6, 1248.6, 179.2, 265.1, 27
0.640, 43999.1, 1328.3, 446.8, 264.8, 27
0.660, 62747.5, 2063.3, 620.4, 505.5, 28
0.680, 67881.7, 2122.0, 538.0, 495.6, 27
0.700, 79087.0, 1984.9, 1025.6, 294.6, 27
0.720, 98484.2, 2686.0, 1377.5, 289.4, 27
0.740, 128589.2, 3384.4, 1876.0, 528.1, 28
0.760, 148077.8, 3830.8, 2103.7, 595.2, 27
0.780, 179368.0, 4187.3, 2458.3, 476.0, 27
0.800, 221572.1, 5357.6, 3847.5, 362.2, 27
0.820, 273019.0, 6831.5, 4331.5, 680.5, 28
0.840, 342251.3, 8465.8, 5652.3, 844.7, 27
0.860, 429193.2, 9846.0, 7093.2, 721.2, 27
0.880, 630279.5, 18520.8, 9781.9, 2909.3, 28
0.900, 2124148.6, 104049.1, 20001.4, 23114.9, 27
0.920, 1134210.5, 85386.4, 15177.3, 14509.6, 27
0.940, 1140369.5, 28835.9, 17257.5, 3039.7, 27
0.960, 1958119.0, 65718.7, 27135.7, 9741.2, 28
0.980, 17223944.2, 2506858.7, 56466.6, 544659.7, 27
1.000, 232943412.7, 15239244.3, 312296.9, 4485115.8, 27
1.020, 4488185.5, 255200.5, 25923.2, 61823.0, 27
1.040, 1080308.1, 36248.6, 11880.9, 7641.9, 28
1.060, 9461687.4, 472597.5, 17255.5, 140821.6, 27
1.080, 30368289.6, 1385996.1, 79999.2, 441034.6, 27
1.100, 34718189.4, 1499407.4, 114776.6, 508870.4, 27
1.120, 16460010.8, 864529.5, 62062.4, 275354.8, 28
1.140, 17761501.8, 896637.4, 112905.7, 241412.4, 27
1.160, 181274074.4, 14905621.1, 404188.0, 3669350.9, 27
1.180, 124096615.4, 16520304.5, 153326.2, 4139948.3, 27
1.200, 9222701.5, 552977.0, 10293.0, 188674.1, 28
1.220, 336295.3, 19274.7, -3764.1, 7356.3, 27
1.240, 482072.3, 61542.2, -4090.8, 12628.3, 27
1.260, 1415585.3, 83876.0, 7105.8, 23246.8, 27
1.280, 2557293.6, 184441.9, 7047.1, 49118.6, 28
1.300, 1542649.9, 43990.9, 22609.6, 5768.0, 27
1.320, 1457541.6, 36793.0, 24365.4, 3632.8, 27
1.340, 1758740.1, 48341.4, 28272.3, 5738.9, 27
1.360, 9959545.9, 611696.6, 42262.7, 159277.2, 28
1.380, 268141958.6, 28681401.8, 485695.1, 7425323.4, 27
1.400, 29579666.6, 1337030.2, 101621.1, 370759.5, 27
1.420, 1820629.7, 89919.6, 17038.2, 18391.7, 27
1.440, 6526232.1, 690846.1, 14739.9, 179535.4, 28
1.460, 25882063.4, 1268023.6, 99581.6, 339075.8, 27
1.480, 37919492.0, 1392505.0, 201427.2, 342233.2, 27
1.500, 37611256.3, 1182276.7, 317302.4, 257109.1, 27
1.520, 36251241.4, 1107801.2, 406658.2, 179865.8, 28
1.540, 13654097.7, 517918.4, 57559.3, 151891.7, 27
1.560, 1197074.3, 109443.1, 268.2, 32188.4, 27
1.580, 202085.0, 7013.8, 628.9, 1569.3, 27
1.600, 271658.5, 9469.4, 2411.1, 1645.5, 28
1.620, 89284.7, 5192.0, -1001.8, 1690.4, 27
1.640, 27789.1, 3041.2, -1672.2, 1337.1, 27
1.660, 198488.5, 9212.8, -978.5, 2973.4, 27
1.680, 313205.7, 10649.1, 2976.1, 2233.2, 28
1.700, 276964.5, 10540.1, 2506.0, 2053.9, 27
1.720, 567281.4, 16358.0, 6779.4, 2491.5, 27
1.740, 1714075.3, 162665.7, 14027.0, 32925.7, 27
1.760, 41585462.3, 1595752.2, 262133.8, 385790.9, 28
1.780, 39323615.6, 1551562.3, 95794.8, 426232.2, 27
1.800, 18467196.2, 1364219.9, 56174.9, 387389.9, 27
1.820, 34955002.6, 1291508.8, 332129.1, 301979.3, 27
1.840, 35877502.5, 1722481.5, 190062.2, 430075.7, 28
1.860, 42963518.8, 1462473.3, 432336.7, 321200.5, 27
1.880, 20005003.8, 1417446.8, 20181.8, 428353.7, 27
1.900, 649846.3, 17676.2, 7008.1, 3398.7, 27
1.920, 595819.8, 17524.9, 7723.6, 2417.3, 28
1.940, 445450.8, 12046.1, 6408.1, 1526.7, 27
1.960, 474135.0, 12924.8, 6981.4, 1581.1, 27
1.980, 801064.6, 31067.3, 8955.7, 4600.1, 28
2.000, 29561463.6, 1361764.4, 33068.4, 373015.6, 27
2.020, 42346323.1, 1343321.9, 529810.2, 244384.4, 27
2.040, 15599209.2, 978205.5, 24206.3, 321719.4, 27
2.060, 16048724.3, 1181950.2, 21463.8, 403745.6, 28
2.080, 36754805.1, 1293502.5, 154813.0, 380702.7, 27
2.100, 30297932.7, 1443906.9, 30963.2, 542021.1, 27
2.120, 721500.0, 29396.4, 4416.2, 7026.3, 27
2.140, 80424.6, 3625.3, 233.8, 912.8, 28
2.160, 262510.5, 8126.2, 489.2, 1984.4, 27
2.180, 346749.5, 11718.4, 756.8, 3011.4, 27
2.200, 68226.2, 3533.4, -691.6, 1267.4, 27
2.220, -24419.0, 331.7, -1386.8, 599.3, 28
2.240, -25291.9, 487.0, -1386.2, 757.7, 27
2.260, -15366.2, 340.5, -1154.3, 503.8, 27
2.280, 115712.4, 9181.8, -244.5, 2633.3, 27
2.300, 261617.2, 10693.2, 907.1, 2673.3, 28
