# 451 buckets with a mean size of 27.26 data points
center, bucket, max, min, std, bucket_size
0.500, -359508.3, -6800.5, -7519.9, 210.0, 27
0.520, -350316.0, -6773.3, -7414.0, 159.1, 27
0.540, -326034.2, -6211.9, -6877.6, 166.3, 28
0.560, -276712.1, -3534.3, -6383.4, 759.3, 27
0.580, -162191.5, -1950.9, -5004.0, 901.7, 27
0.600, -150697.0, -2415.8, -3694.7, 299.2, 27
0.620, -71584.7, -467.3, -2468.9, 585.8, 28
0.640, 60358.0, 2590.0, -384.5, 929.7, 27
0.660, 211223.2, 6568.2, 2864.7, 956.5, 27
0.680, 476869.3, 17830.4, 6379.2, 3339.0, 27
0.700, 1371005.1, 42006.0, 19332.5, 6502.8, 28
0.720, 2701085.0, 65628.2, 43408.9, 6430.8, 27
0.740, 2544084.8, 72080.4, 40428.1, 11305.3, 27
0.760, 2949519.6, 87881.5, 36853.7, 15180.1, 27
0.780, 1976076.4, 43536.4, 36142.1, 2449.2, 28
0.800, 2733136.4, 79007.6, 42445.4, 10369.1, 27
0.820, 3733593.3, 95872.0, 58610.7, 10668.2, 27
0.840, 7516329.5, 242810.8, 95270.5, 43695.5, 27
0.860, 18080462.5, 444283.3, 256886.9, 51380.5, 28
0.880, 33075577.2, 1746000.2, 411606.9, 367439.7, 27
0.900, 60042235.3, 3044822.7, 553650.0, 616452.3, 27
0.920, 10982467.7, 472663.3, 106610.5, 99046.4, 28
0.940, 5337985.1, 116409.8, 93160.2, 6696.7, 27
0.960, 6287293.9, 158195.7, 103592.9, 18109.9, 27
0.980, 11881836.8, 1094472.5, 138590.1, 208458.2, 27
1.000, 14752074.0, 1148788.5, 44511.1, 315034.7, 28
1.020, 3683807.2, 143997.0, 47284.3, 20764.7, 27
1.040, 3456846.3, 102122.4, 58228.2, 10517.0, 27
1.060, 6594741.6, 159411.1, 72208.9, 27756.1, 27
1.080, 8809498.5, 217619.3, 134967.0, 27586.3, 28
1.100, 9079799.3, 235221.9, 142081.2, 32628.0, 27
1.120, 11604258.2, 300039.9, 190070.9, 36711.0, 27
1.140, 15358222.4, 408793.2, 235135.8, 54874.4, 27
1.160, 28189022.9, 1321522.0, 286923.8, 322279.5, 28
1.180, 13730803.6, 740169.3, 197022.2, 114602.4, 27
1.200, 13811304.3, 298968.3, 254944.2, 13669.2, 27
1.220, 17923113.0, 445658.0, 273866.1, 44434.4, 27
1.240, 23414702.9, 584104.2, 412357.3, 46594.8, 28
1.260, 47699759.5, 1598521.9, 601000.7, 294488.5, 27
1.280, 342763427.3, 17808167.8, 1631270.1, 5221782.0, 27
1.300, 178046147.9, 6301514.1, 2664508.2, 968310.3, 27
1.320, 109221274.6, 2763736.8, 1449709.8, 423363.1, 28
1.340, 41259800.7, 1378688.3, 356672.3, 325886.3, 27
1.360, 10820005.5, 338310.9, 168964.2, 46976.8, 27
1.380, 27599266.8, 2302616.4, 181086.3, 533595.4, 27
1.400, 7821975.1, 212730.7, 92104.8, 34914.9, 28
1.420, 3639343.3, 124118.2, 17400.7, 37344.6, 27
1.440, 478932.1, 51672.0, -10969.9, 14367.1, 27
